,indice_Inflazione_GT_PCA_SA,indice_Tematico_GT_SA,indice_Termini_Diretti_Purificato,indice_Alimentari_Purificato,indice_Energia_Purificato,indice_Abitazione_Purificato,indice_Trasporti_Purificato,indice_Politiche_Economiche_Purificato,indice_Aspettative_Consumatori_Purificato,indice_Sanita_Purificato,indice_Ricreazione_Purificato
2018-03-01,-2.72913057267859,2.5575394795445,0.85009,1.43004,0.44415,1.3383,0.6297,0.85405,-0.00448,1.10604,1.21074
2018-04-01,-2.55250753378295,1.69517180424025,-0.26055,1.09386,0.26823,0.67496,0.27319,-0.11109,0.19486,1.00101,0.16536
2018-05-01,-1.68129721964986,2.43835500756558,0.76196,0.66399,0.3837,1.31034,0.26801,4.9779,0.16806,0.81863,0.42049
2018-06-01,-2.11401633356792,2.447706510208,-0.17242,0.53712,0.06778,1.562,0.41799,3.30383,-0.20383,0.55669,0.59209
2018-07-01,-2.17772156208482,2.50643616509784,1.32048,0.36933,0.2437,1.53404,1.69202,-0.13226,-0.40317,0.76675,0.05555
2018-08-01,-1.56611159604557,2.19993454274978,0.44031,0.45352,-0.24176,0.69646,1.69832,0.36174,-0.42997,0.55416,0.84254
2018-09-01,-1.71404299066884,2.62400659889662,0.54012,0.53887,0.2437,1.47811,4.28579,2.31217,0.16459,0.92366,1.52112
2018-10-01,-1.69508629553789,2.5573902008855,0.47479,1.3932,0.47735,1.25441,1.66567,5.37158,-0.3035,0.86798,0.87151
2018-11-01,-1.73580307872315,2.82746498297776,1.03803,1.68903,0.67508,1.67928,1.21257,2.80732,-0.3035,0.60604,1.37907
2018-12-01,-2.07359325984278,2.43132996316774,0.92711,1.30668,0.44143,0.8909,0.00545,1.71829,0.16459,-0.2546,2.70784
2019-01-01,-2.13063994152152,2.51800983772627,1.49034,1.13713,0.61735,1.42219,1.53738,0.72157,0.26426,1.31863,1.60266
2019-02-01,-2.61605436056199,3.00154987610031,0.76196,2.75894,1.00915,1.39423,1.1851,0.79316,-0.20383,1.07804,0.95632
2019-03-01,-2.83849267203527,2.81390243444433,0.37498,1.05002,0.95142,1.36626,1.11283,0.31088,0.36393,1.33998,0.75773
2019-04-01,-2.65177277891694,2.81392875513718,0.37498,0.88223,0.44143,1.31034,0.69977,0.29495,-0.00448,0.66425,2.08324
2019-05-01,-3.17076985600939,2.74224342119888,0.37498,0.9249,0.32597,1.36626,1.22609,1.09575,0.46361,1.26295,0.78671
2019-06-01,-1.87893600248932,2.40888171822406,-0.28334,0.07174,0.01004,1.58996,1.86659,2.33261,-0.20383,0.76928,-0.00297
2019-07-01,-2.03172654659255,2.11981101259027,-0.89217,0.23954,0.01004,1.61793,1.49409,1.08527,-0.10416,0.87178,0.44805
2019-08-01,-2.20924928572196,2.84945772340941,-0.52798,0.24129,0.2437,0.72442,2.08188,1.4251,0.16459,0.50734,2.46312
2019-09-01,-2.17628360569929,2.83188940822017,-0.34004,0.32665,0.55323,1.47811,4.73505,1.7067,0.36393,1.07551,2.51067
2019-10-01,-1.99865584653575,2.74891412979384,0.13034,1.34877,0.55323,1.28238,2.29921,0.36624,-0.00448,1.39566,1.77426
2019-11-01,-2.81355592040861,2.81470029734906,0.15314,1.68903,0.50189,1.70724,0.84007,0.36624,0.46361,1.23242,1.74529
2019-12-01,-2.41838889514919,2.85791733391088,-0.20633,1.56158,0.44415,0.8909,0.31894,0.09873,1.23071,0.11237,3.18387
2020-01-01,-2.67351302167821,3.72261846526503,0.29797,1.4834,1.10281,1.9589,1.51007,0.06163,1.6672,1.89819,2.7283
2020-02-01,-3.6853990181775,1.70190762378402,-0.34867,0.96758,0.86915,1.19849,0.56577,-0.20618,0.30958,1.13625,0.44805
2020-03-01,-1.59512656369908,1.0715135654072,0.82787,1.1829,1.00643,-0.22631,-0.92737,4.15534,0.42431,-0.09104,-1.40627
2020-04-01,0.47208433365125,2.63732215815251,1.98882,3.53016,1.29509,0.02536,-0.88434,3.63947,0.8531,-1.11239,-1.03807
2020-05-01,-0.476732145805528,3.85025995190229,2.15644,1.82074,0.75097,2.1826,0.26403,2.35769,3.84785,-0.51147,-0.43851
2020-06-01,-1.89277160131019,4.45142728745722,1.30546,1.22249,0.78689,2.74186,1.56688,0.70752,2.58498,0.61997,0.01379
2020-07-01,-2.13894097910207,3.53296241829487,0.17203,0.62131,0.47735,2.43427,1.46731,-0.00996,2.9141,0.66679,0.09789
2020-08-01,-1.78975775934569,2.95871889684712,0.03831,0.96758,0.65327,1.58996,1.11326,-0.58194,2.20134,0.04041,0.84638
2020-09-01,-2.00442489717652,2.48192959478075,0.28295,1.13713,0.47735,1.42219,3.01608,-0.34673,2.27844,1.21613,0.92933
2020-10-01,-2.37430122526941,1.32055108299095,-0.02702,1.60543,0.18597,1.1146,0.25475,-0.16907,1.42086,0.77182,-0.43092
2020-11-01,-2.38649883063847,1.69609079141224,1.54762,2.28904,0.26185,1.00275,-1.29468,-0.00734,2.11012,0.25046,-0.58506
2020-12-01,-2.22734180305587,2.13170482917741,1.35968,1.94219,0.57777,0.83497,-1.34345,-0.25659,1.60515,0.38349,0.41096
2021-01-01,-2.23113111247166,1.68248446717642,1.08362,1.94761,1.18507,1.93094,-0.30804,-0.13197,1.04567,0.76928,-0.46678
2021-02-01,-1.24098002520651,2.26018954554639,0.66993,1.47622,1.361,1.36626,-0.35106,1.44602,0.42431,1.08057,-0.15582
2021-03-01,-0.882889913121314,2.45895762560199,1.41638,1.43179,1.18507,1.28238,-0.97613,-0.48991,1.03739,0.92619,-0.46678
2021-04-01,-0.90595828798184,2.84606813033201,1.0294,1.38911,0.81142,1.562,-0.62986,-0.47136,1.09851,1.2957,-0.46678
2021-05-01,-0.778337772462529,2.33094094850117,1.0294,0.96934,0.55323,1.45015,-0.00807,-0.3263,0.7459,1.18814,-0.25611
2021-06-01,-1.05443604446334,2.44531861247623,0.09501,0.49619,0.06778,1.67385,0.89524,-0.46948,1.11356,0.74635,0.27972
2021-07-01,-1.09125603861284,2.94354591670654,-0.01591,0.20153,0.53508,2.01483,0.72094,-1.02741,0.73837,1.72468,1.61889
2021-08-01,-1.28720037909208,3.15017839983503,0.01551,0.79979,0.47735,1.50608,2.20508,-1.02741,1.10679,0.98441,1.21131
2021-09-01,-0.312267065829448,2.94680293220081,0.75806,1.2741,1.47008,1.562,4.0847,-0.61454,0.57758,1.61585,0.84452
2021-10-01,0.6779836016914,3.12807939120965,1.0294,1.61261,1.80105,1.17053,1.85691,-0.66758,0.72332,1.35391,1.01286
2021-11-01,1.71827725403983,3.35983431428549,1.33936,1.60659,1.16054,1.14256,0.68175,-0.5615,2.01889,1.82591,0.52638
2021-12-01,2.54656062623925,3.26580155241869,1.0294,1.39379,1.49461,0.86294,-0.55241,-0.61454,2.51672,1.04262,1.37907
2022-01-01,2.95471739418119,3.30066266964009,1.73746,1.39087,2.90329,1.9589,0.09396,-0.39977,1.5901,2.27656,0.42049
2022-02-01,3.7345832566055,6.44460520846918,1.4725,1.73539,5.63295,1.98686,1.1698,0.38697,2.8396,2.54104,0.39152
2022-03-01,4.82076997045934,11.5042705327509,2.78218,4.17092,12.53853,2.01483,1.33059,0.15627,3.78127,2.80298,0.70318
2022-04-01,3.86098174703959,6.65167851334003,2.02463,2.24344,3.42561,1.45015,1.45379,-0.47136,2.11932,2.48282,1.64716
2022-05-01,4.78473355284273,6.93774313585377,1.85948,1.90727,2.25058,2.09872,1.58533,-0.0956,4.79137,2.86119,1.27967
2022-06-01,8.05487885172407,7.26805256939101,2.47222,1.55983,3.21022,2.09872,2.12133,0.52724,4.11641,2.09672,1.73267
2022-07-01,8.26650900540407,6.01865247932457,1.61485,1.22073,2.51743,2.1826,1.9738,0.20219,3.56537,2.04483,1.36575
2022-08-01,5.80245492600719,6.87373111458882,1.48113,1.6025,3.20334,2.01483,3.08545,-0.06488,3.40533,1.88159,2.35459
2022-09-01,7.7656336460567,7.40715083079758,1.91371,2.62947,4.47241,1.93094,6.80054,0.47261,3.4422,2.0385,1.46388
2022-10-01,7.7125824213412,7.11294305479229,1.84838,3.31116,4.47241,1.17053,3.28135,0.20481,3.78052,2.59038,1.32382
2022-11-01,8.48651074520214,6.81315243784151,1.9593,2.92221,3.24603,1.65131,1.46186,-0.08155,4.76219,2.69541,1.32382
2022-12-01,5.54771685598192,6.07712793234372,1.79168,2.79184,2.76057,0.77905,0.91779,-0.27776,3.04519,1.91212,3.10034
2023-01-01,8.88558866572979,7.02713014362527,2.22367,2.66322,5.15343,1.79113,2.12694,0.1351,2.78397,3.17374,3.31132
2023-02-01,5.71835014722979,6.92909302298774,2.04742,2.49542,4.16925,1.76316,1.52113,-0.18762,2.53102,3.33066,1.35208
2023-03-01,8.36091995081327,6.46800109186499,2.08133,2.20076,2.87876,1.81909,1.43534,-0.25921,1.19141,3.33319,1.54997
2023-04-01,4.41010076145207,6.74288984807576,1.85948,2.2832,2.31104,1.76316,1.80512,-0.39977,1.39828,3.22309,2.11279
2023-05-01,4.72531580958248,6.55728433567439,1.88228,1.98854,2.2533,2.16006,1.67138,0.03165,2.08847,3.43822,1.46388
2023-06-01,5.75825493204615,6.33132309309781,2.43441,1.43296,1.76146,1.7352,2.10288,-0.00546,2.55452,3.0219,1.80112
2023-07-01,6.40902388606886,8.25055913277187,2.13555,1.3932,2.2865,3.96594,2.84023,-0.50847,3.8523,2.88381,3.9858
2023-08-01,6.70758166714881,8.09944838934343,1.59205,2.45742,3.21567,2.27191,3.45303,-0.79656,2.52425,2.46749,4.52618
2023-09-01,7.5748559560779,7.25302893824811,2.15834,2.54511,3.00289,1.7352,6.58007,-0.09748,2.32415,3.25331,2.76169
2023-10-01,14.5918336424025,7.01110756667554,2.93231,3.01458,2.96969,1.5115,3.48815,0.48855,2.60188,3.47097,2.02926
2023-11-01,5.69530000985655,6.79414741143188,2.38018,3.60799,2.85422,1.37169,2.00469,-0.1185,1.88912,3.12946,2.6756
2023-12-01,3.72684298960296,6.76656019221538,2.32348,3.22155,3.17014,1.17595,1.44887,0.15177,1.75165,2.75996,2.93201
2024-01-01,4.36039474919877,6.94043107116446,2.9159,2.50127,4.42744,2.10414,2.22924,-0.04444,1.99632,4.33667,2.91485
2024-02-01,3.57548017989021,6.17821697910832,2.63593,1.3932,4.06017,1.9084,1.13961,-0.48976,1.60515,3.62661,1.04042
2024-03-01,2.84857075474696,6.34839656292843,2.54781,1.47564,3.39241,1.34372,1.02432,-0.20356,1.35221,3.73418,1.35138
2024-04-01,3.33107601110334,5.79234217507238,2.32596,1.09562,2.45103,1.79655,1.68736,-0.38122,0.86907,3.23418,0.70247
2024-05-01,2.48610162302109,5.77429941488582,3.18333,0.9705,2.2533,1.76859,1.83488,-0.43426,0.93094,3.52158,0.70446
2024-06-01,2.15847447268205,5.40928304323612,1.96178,0.75828,1.76146,1.31576,1.85087,-0.25471,1.13029,3.26217,2.02471
2024-07-01,1.78234242986395,5.44896192468752,2.32596,0.36933,1.93738,1.96433,2.01437,-0.63294,1.44511,2.70776,2.57946
2024-08-01,2.07127443974226,5.16760976600943,1.97041,0.80096,1.99512,1.39965,2.77646,-0.52628,0.72407,2.02317,2.66356
2024-09-01,2.03095216045334,4.9128469070942,2.54781,0.92899,2.5383,1.9084,5.3504,-0.45281,1.03814,2.86467,0.78728
2024-10-01,2.1400785698837,5.74863352962959,3.81495,1.94802,2.48057,1.79655,3.00731,-0.18297,1.28356,3.62661,1.1542
2024-11-01,1.98662373826133,6.75639895107859,3.68124,2.93815,2.56284,1.6847,1.96616,-0.45281,2.18044,3.41655,2.19631
2024-12-01,2.31183897860573,6.00984679155237,2.78996,1.85741,2.19557,0.95225,1.09931,-0.32818,3.89085,2.44582,2.33766
