,indice_Inflazione_GT_PCA_SA,indice_Tematico_GT_SA,indice_Termini_Diretti_Purificato,indice_Alimentari_Purificato,indice_Energia_Purificato,indice_Abitazione_Purificato,indice_Trasporti_Purificato,indice_Politiche_Economiche_Purificato,indice_Aspettative_Consumatori_Purificato,indice_Sanita_Purificato,indice_Ricreazione_Purificato
2006-10-01,0.751531424127833,-4.17530370673492,-1.22636,-2.93775,-2.00228,0.02406,-1.60419,-1.18434,-1.71326,-0.91373,-1.31445
2006-11-01,0.138048972051798,-5.87331542644104,-0.9503,-2.93775,-1.56817,-2.78205,-2.24758,-0.67945,-2.01228,-1.25302,-2.24745
2006-12-01,-0.338266009709044,-5.92505982080955,-1.51353,-2.93775,-2.06002,-3.34672,-2.48361,-0.8961,-2.3113,-2.43792,-1.87925
2007-01-01,0.194496240781072,-5.41222087165548,-0.85106,-2.89507,-1.94455,-1.30263,-1.60147,-0.75292,-2.01228,-1.38858,-1.65438
2007-02-01,0.0214582250051008,-5.03468495397738,-0.20857,-2.64777,-1.82636,-1.30263,-1.91249,-1.03928,-1.91261,-0.75935,-2.47232
2007-03-01,-0.115388785535328,-4.96382647483772,0.37746,-1.52651,-2.11775,-2.64223,-2.21808,-0.96769,-0.50834,-1.04929,-2.24745
2007-04-01,-0.332889614947241,-4.77632364557756,-1.70147,-2.77288,-1.51044,-1.69953,-2.08408,-1.68923,-1.91261,-0.83923,-1.24424
2007-05-01,-0.188790118643581,-4.54712344194444,-1.67867,-2.98043,-1.82636,-1.19078,-1.674,-0.75292,-1.81294,-1.09864,-0.70969
2007-06-01,-0.235495477576799,-4.5275894458537,-0.18577,-3.06579,-2.06002,-0.44355,-1.64449,-1.04116,-0.37494,-2.12283,-1.58417
2007-07-01,-0.406507635824326,-5.01442621270266,-1.54801,-2.39403,-1.76863,-1.05096,-1.79202,-1.54605,-1.91261,-1.64703,-1.07789
2007-08-01,-0.142548333598947,-3.06038999588776,-1.45989,-1.14824,-1.7109,-2.50242,-1.77331,-0.89798,-0.20932,-0.85805,-0.96283
2007-09-01,-0.548414396109469,-3.86178705728163,-0.13155,-0.67335,-1.56817,-1.21874,-1.07787,-0.89798,-0.57428,-1.64798,-1.93579
2007-10-01,-0.836081959805393,-4.16759036495689,-1.3915,-1.26985,-1.56817,-1.35855,-1.19317,-0.6464,-1.71326,-1.64798,-1.90752
2007-11-01,-0.211814443684449,-3.56807519154318,-1.33728,-0.71311,-1.45271,-1.12007,-2.2503,-0.68133,-0.47461,-1.03789,-1.62611
