Modello,AIC,BIC,R2_Adj,RMSE_in,MAE_in,N_Params
Base + Tematico_GT_lag1,64.2525740630716,85.38133957024507,0.5277668532643078,0.25188281377886346,0.19855436637846793,6
"Modello Aumentato (GT_Infl(lag3), GT_Tem(lag1))",64.49755418918701,89.09155541234188,0.5342016312709186,0.25054380515765295,0.19803851499523348,7
Modello Base,64.86450785735867,82.4917725530176,0.5249040424613377,0.2526728849126756,0.1990922776217563,5
Base + Inflazione_GT_PCA_lag3,65.96714773364545,87.04772021063533,0.529748357382383,0.2522603591538673,0.19991217901455996,6
