,indice_Inflazione_GT_PCA_SA_diff1,indice_Tematico_GT_SA_diff1,NIC_destag_ISTAT_diff1
2004-01-01,,,
2004-02-01,2.1691809576934897,-0.012312297547209639,0.20000000000000284
2004-03-01,-0.8358485797851394,-1.4831856120654496,0.29999999999999716
2004-04-01,-0.15813161902410044,1.3523826811976898,0.20000000000000284
2004-05-01,-0.2791085817145502,-0.5147574675003899,0.20000000000000284
2004-06-01,-2.4085900656868797,0.7309112753217901,0.19999999999998863
2004-07-01,-0.37608665404667985,-0.5757815184696504,0.0
2004-08-01,0.06382388483828993,0.05058434314276994,0.20000000000000284
2004-09-01,1.2701981385146,1.58595050779011,0.0
2004-10-01,0.30712354140931986,-1.16023581556607,0.0
2004-11-01,-0.09689935270804995,0.05962248191493025,0.0
2004-12-01,0.02137717190883004,0.18081677757851988,0.20000000000000284
2005-01-01,-0.18249334719337984,-0.3040083347323703,0.0
2005-02-01,0.62801149759879,0.40180519689398064,0.29999999999999716
2005-03-01,-2.1225731178745404,0.22919915734757978,0.29999999999999716
2005-04-01,0.8273842364563102,-0.5964100608708804,0.20000000000000284
2005-05-01,-0.9646616365321401,0.25862967165406037,0.20000000000000284
2005-06-01,-0.38991523587813504,0.22084888798417968,0.0
2005-07-01,0.6104292517781451,0.3348439955185203,0.29999999999999716
2005-08-01,-0.8923915380636182,-0.04831709202865042,0.10000000000000853
2005-09-01,0.599743770798158,-0.3302928684474793,0.0
2005-10-01,-0.688895836604456,0.16266906035309958,0.29999999999999716
2005-11-01,0.520501546755066,0.3441495580567304,0.0
2005-12-01,-0.045725293293019886,0.13930645852171963,0.0
2006-01-01,-0.05016654546798005,-0.3538107552501897,0.20000000000000284
2006-02-01,-0.846795321198993,-0.9640393561048706,0.29999999999999716
2006-03-01,1.2095570926937431,0.4892371822938104,0.20000000000000284
2006-04-01,-1.49401649365985,0.0888457053487599,0.19999999999998863
2006-05-01,1.2502279388798998,0.7622167965521403,0.20000000000000284
2006-06-01,0.40624788348863006,-0.5046464577228207,0.10000000000000853
2006-07-01,-2.164472060583577,0.5268680864146305,0.29999999999999716
2006-08-01,1.5212231260365652,-0.1686301150557501,0.09999999999999432
2006-09-01,-0.501367590369765,-0.027723370673370162,0.0
2006-10-01,0.35781525204154,1.4719640203854603,-0.09999999999999432
2006-11-01,-0.613482452076035,-1.6980117197061197,0.09999999999999432
2006-12-01,-0.476314981760842,-0.05174439436851053,0.0
2007-01-01,0.532762250490116,0.5128389491540704,0.10000000000000853
2007-02-01,-0.1730380157759712,0.3775359176780997,0.29999999999999716
2007-03-01,-0.1368470105404288,0.07085847913965981,0.09999999999999432
2007-04-01,-0.217500829411913,0.18750282926016038,0.10000000000000853
2007-05-01,0.14409949630366,0.22920020363311977,0.29999999999999716
2007-06-01,-0.046705358933218005,0.01953399609074058,0.20000000000000284
2007-07-01,-0.17101215824752697,-0.4868367668489606,0.19999999999998863
2007-08-01,0.263959302225379,1.9540362168149001,0.10000000000000853
2007-09-01,-0.40586606251052193,-0.8013970613938701,0.0
2007-10-01,-0.28766756369592406,-0.30580330767526,0.29999999999999716
2007-11-01,0.624267516120944,0.5995151734137103,0.29999999999999716
2007-12-01,0.852096210836434,-0.03075481220484022,0.29999999999999716
2008-01-01,-0.006927916186018068,0.5736743493923799,0.4000000000000057
2008-02-01,0.47980836346505307,-0.6066835456205597,0.20000000000000284
2008-03-01,-0.38394544201051106,0.5657244986671497,0.3999999999999915
2008-04-01,0.7458753973031009,0.31809012097187006,0.20000000000000284
2008-05-01,-0.43082420975130997,-0.7805558098621699,0.5
2008-06-01,0.6061745433227002,0.5955216335532798,0.5
2008-07-01,1.11447215351327,-1.1420933271979594,0.4000000000000057
2008-08-01,-1.47883584188482,0.23696486003053963,0.09999999999999432
2008-09-01,0.4561030331299598,0.32853140782018997,-0.29999999999999716
2008-10-01,0.011722274969490076,0.4844491381077001,0.0
2008-11-01,-1.42201031612012,-0.5091058578324299,-0.20000000000000284
2008-12-01,-0.23715680524896968,-0.19506100161005024,-0.20000000000000284
2009-01-01,0.0892272984957467,-0.5215670754118897,-0.09999999999999432
2009-02-01,-0.434338331240736,0.4554016985741898,0.20000000000000284
2009-03-01,0.26551077216709823,-0.03700987961163982,0.09999999999999432
2009-04-01,-0.6690234528674832,-0.01748144099056992,0.10000000000000853
2009-05-01,0.018700222113416043,-0.16232680360186036,0.19999999999998863
2009-06-01,0.08486285533108995,0.06608052306223033,0.10000000000000853
2009-07-01,-0.09140422183571095,0.6019904914015899,0.0
2009-08-01,-0.04193244055773604,-0.5010158579937802,0.29999999999999716
2009-09-01,-0.597836440728255,-0.05857385347729993,-0.29999999999999716
2009-10-01,-0.2744454727068799,0.1577021170991002,0.09999999999999432
2009-11-01,0.4628023136455699,-0.23975088297631997,0.0
2009-12-01,-0.31614951090566,0.18768731202189004,0.20000000000000284
2010-01-01,0.19251061300393002,0.26288803444723996,0.20000000000000284
2010-02-01,-0.3403443744430199,0.10960094991322977,0.0
2010-03-01,-0.08674967115225996,0.02763297991493019,0.29999999999999716
2010-04-01,0.30500093530093,0.44682677237140966,0.29999999999999716
2010-05-01,-0.01189990267234009,-0.3361702256055499,0.10000000000000853
2010-06-01,-0.35932195100787,-0.19406340285017976,0.0
2010-07-01,-0.62388034384277,0.41371823724538004,0.29999999999999716
2010-08-01,1.00178610237682,0.039621439640619815,0.20000000000000284
2010-09-01,-0.39099271990472984,0.15968911227687999,-0.20000000000000284
2010-10-01,-0.09425484326797018,-0.14738780526276019,0.20000000000000284
