Modello,AIC,BIC,Criterio,N_Params
Base + Tematico_GT_lag1,64.2525740630716,85.38133957024507,64.2525740630716,6
Modello Finale Aumentato (Entrambi GT),64.49755418918701,89.09155541234188,64.49755418918701,7
Modello Base,64.86450785735867,82.4917725530176,64.86450785735867,5
Base + Inflazione_GT_lag3,65.96714773364545,87.04772021063533,65.96714773364545,6
