,Y_Inflazione,d_outlier_2022_01_1m,d_outlier_2022_10_1m,indice_Inflazione_GT_PCA_SA_diff1_lag3,indice_Tematico_GT_SA_diff1_lag1
Y_Inflazione,1.0,0.26447666006547804,0.6411367115708916,0.12665883961856397,-0.022827607631250968
d_outlier_2022_01_1m,0.26447666006547804,1.0,-0.004048582995951417,0.056318707976652595,-0.013489882529990107
d_outlier_2022_10_1m,0.6411367115708916,-0.004048582995951417,1.0,0.012297052023585425,0.04161420445556765
indice_Inflazione_GT_PCA_SA_diff1_lag3,0.12665883961856397,0.056318707976652595,0.012297052023585425,1.0,0.03396832585404727
indice_Tematico_GT_SA_diff1_lag1,-0.022827607631250968,-0.013489882529990107,0.04161420445556765,0.03396832585404727,1.0
