,indice_Termini_Diretti,indice_Alimentari,indice_Energia,indice_Abitazione,indice_Trasporti,indice_Politiche_Economiche,indice_Aspettative_Consumatori,indice_Sanita,indice_Ricreazione,indice_globale
2004-01-01,1.8921679513067442,-1.7826653194147717,-0.7954686878719246,-3.5686156884896283,-1.3093583241424862,-2.59995353952225,-1.4142434762818425,-2.9768705534287783,-2.7395696041370057,-4.993428832779782
2004-02-01,3.2891526711458554,-3.152447866494146,-1.2223435043030733,-3.80643790214579,-1.7852328702174753,-1.9830539003739007,-0.1795886277019742,-2.930985568674873,-1.3573437722693007,-4.712062842732092
2004-03-01,-0.5893725330421754,-3.166122392584784,-1.424847569870678,-3.59719675534454,-0.9340644300919172,-2.4692874061262478,-1.610365922073133,-3.0801117691250655,-2.8705293229890545,-6.4418655212714535
2004-04-01,1.5593138938894144,-3.1682261658294975,-1.227856970447564,-3.709246865159481,-1.926033237943779,-1.7030550430967524,-1.6757400706702297,-3.1145255076904945,-2.733718321225911,-6.147583900790702
2004-05-01,0.7517258254779972,-3.1755893721859954,-1.190446518069941,-3.5691842278908044,-1.9986228339791496,-1.8282114146610744,-1.6321573049388316,-3.091583015313542,-2.6425744917715894,-6.267882647618935
2004-06-01,0.15538985661008312,-3.1861082384095627,-1.7149135925018701,-1.9703545060498007,-1.4173642723333237,0.2522919417604868,-1.9590280479243156,-2.3057031238933954,-2.756361392216999,-5.552140759845128
2004-07-01,-0.5817340000872199,-3.1913676715213466,-1.238188827367955,-3.5285867852131427,-1.253054669648319,-1.4867030240968158,-2.155150493715606,-2.0896281448405856,-2.9158154649712307,-6.182287020083454
2004-08-01,-2.356362039876347,-3.192419558143703,-1.6775031401242473,-3.2907645715569807,-1.4683045218203405,-1.9652894630273807,-2.264107408044101,-3.424249154779356,-2.7846652309558593,-7.35158228302495
2004-09-01,1.260670144381193,-3.1755893721859954,-1.2402964667727072,-2.6384073596559343,-0.25320891716158456,-2.319954682245102,-1.7846969849987242,-0.03504869501405274,-2.802028564525821,-4.154318815258687
2004-10-01,-0.6267005633159829,-3.1776931454307085,-1.6848226896902914,-2.7784699969246107,-0.5483746554723851,-2.3386212727302453,-1.7629056021330254,-2.308900639780141,-2.767873442875866,-5.842873894156529
2004-11-01,0.8341609545794076,-2.1787145010049502,-1.6373819363754756,-2.1938861862785064,-1.3903569170841874,-1.6975452812650718,-1.8064883678644232,-3.1833529848213526,-2.802028564525821,-5.471292535191228
2004-12-01,0.33019503414062723,-3.1766412588083517,-1.2402964667727072,-2.7504574694708754,-2.4121815398811477,-2.3386212727302453,-1.7629056021330254,-3.1604104924444,-2.739379088973683,-6.3931921835041186
2005-01-01,1.09564709554712,-3.167174279207141,-1.5397896783746952,-2.7636109240959787,-0.2948067040679874,-1.8205643478392926,-0.5189713461901809,-2.9998130458057313,-2.7395696041370057,-5.090406108400686
