,indice_Termini_Diretti,indice_Alimentari,indice_Energia,indice_Abitazione,indice_Trasporti,indice_Politiche_Economiche,indice_Aspettative_Consumatori,indice_Sanita,indice_Ricreazione,indice_globale,indice_Inflazione_Aggregato
2004-11-01,-0.7579804522575357,-2.192908297569713,-2.0050056642546643,-2.1334837755471803,-1.5343823471863878,-1.4744604475769831,-2.3112986811126577,-3.4262022319501986,-2.8405253994110713,-6.280477448815523,1.013955410378814
2004-12-01,-0.48687658206868945,-3.1938222749822454,-1.6531640002203412,-2.6981594254872605,-2.590570610514347,-2.1187643835135903,-2.3112986811126577,-3.4262022319501986,-2.7839875334677098,-7.107290215758128,1.0875162554161013
2005-01-01,-0.26503508070872217,-3.1938222749822454,-2.178203527842694,-2.6701968069469273,-0.5720620048850363,-1.331281795146626,-1.4142470489433547,-3.4262022319501986,-2.8122564664393908,-6.161353188154424,1.9781264376983165
2005-02-01,0.3413102441245202,-3.1938222749822454,-2.120470906646684,-2.6701968069469273,-1.268843248305161,-1.6176391000073405,-2.3112986811126577,-2.480939049852281,-1.4807969159857153,-5.744561694446064,1.7551003023907479
2005-03-01,0.3980102207667346,-2.510965447419857,-1.5349757893991895,-2.6142715698662613,-1.2341559822261692,-1.4028711213618048,-2.3112986811126577,-2.5859682923076055,-2.1323922247267126,-5.4824064922136255,0.5409690255336784
2005-04-01,-1.6453464576974053,-2.8097153094784018,-2.120470906646684,-3.0670967456450087,-2.4135445445935293,-1.6176391000073405,-2.3112986811126577,-2.480939049852281,-2.8122564664393908,-7.072569323320447,0.6443921825362356
2005-05-01,0.554522474254539,-2.9377509646463498,-1.826361863808371,-3.5758471585044225,-2.041049351882207,0.11368249838631686,-2.3112986811126577,-2.6909975347629294,-2.8122564664393908,-6.457299293165143,0.4033374847784891
2005-06-01,0.7874724494489,-3.1938222749822454,-2.0050056642546643,-2.5303837142452617,-1.475545624853459,-1.1165138165010904,-1.6135918560920886,-2.270880564941633,-2.8687943323827523,-5.793258313118354,0.1862369133040217
2005-07-01,-0.08878508215657538,-2.9377509646463498,-1.6531640002203412,-2.5024210957049284,-1.6685541591708846,-2.1187643835135903,-2.3112986811126577,-1.9557928375756606,-1.0924953210373867,-5.4422490423057,0.0013825571579346241
2005-08-01,-2.08902946041734,-2.8950724129237004,-1.5954313790243313,-2.5024210957049284,-1.7730496605279014,-2.1187643835135903,-2.3112986811126577,-2.060822080030985,-2.8405253994110713,-6.554269566310685,-0.551528683696217
2005-09-01,-0.9163931046146625,-3.1938222749822454,-1.5954313790243313,-1.3305901432906653,-1.1913914987952017,-1.4744604475769831,-1.6135918560920886,-2.901056019673578,-2.160661157698393,-5.554649303695409,0.4931255284624959
2005-10-01,-0.2416605255696891,-2.980429516368999,-2.120470906646684,-2.3012594867891796,-1.6149901291021649,-0.6775651669033252,-2.3112986811126577,-2.7960267772182537,-2.160661157698393,-6.102575296402847,0.19883083234599475
2005-11-01,2.6059348762912755,-2.9377509646463498,-2.2359361490387037,-2.7261220440275937,-2.5020575775539386,-0.822626357795021,-1.7132642596664556,-2.7960267772182537,-1.3729708077347313,-5.4680870337326315,0.32073564505327923
2005-12-01,-0.36426855381918927,-2.8950724129237004,-1.826361863808371,-2.86593513672926,-2.1885710734828887,-1.7608177524376976,-2.3112986811126577,-2.901056019673578,-1.6261112800653916,-6.351369140538589,0.38139357021506837
2006-01-01,-0.8196388341086406,-3.1938222749822454,-1.6863626311267887,-2.6701968069469273,-1.322669015186578,-1.6176391000073405,-1.7132642596664556,-1.136277752112679,-2.188930090670074,-5.404408979699387,1.2984629324249246
2006-02-01,-1.779062959781299,-2.312179728763517,-1.7686292426123609,-2.6981594254872605,-2.17504919755936,-1.4028711213618048,-1.9126090668151896,-2.5859682923076055,-2.8970632653544333,-6.472385332260517,0.5552345471237211
2006-03-01,1.5220023234997941,-3.0231080680916484,-1.826361863808371,-3.1509846012660083,-1.6309725974987725,-0.3930904005039497,-2.3112986811126577,-2.6909975347629294,-2.1323922247267126,-5.802867103740717,0.4958514775227104
2006-04-01,-0.7826766025307687,-2.9377509646463498,-1.6286300099307789,-3.095059364185342,-2.0545712278057353,-0.46656226518046695,-2.3112986811126577,-2.6909975347629294,-2.8687943323827523,-6.641581811452669,-0.17424361969929775
2006-05-01,1.3118480997093431,-2.9377509646463498,-1.6531640002203412,-2.586308951325928,-2.1000580405224794,-0.4646797267191283,-2.3112986811126577,-2.480939049852281,-1.9943123338934117,-5.595803592342849,0.29942213876135093
2006-06-01,-1.2035638538467928,-3.0231080680916484,-1.826361863808371,-2.586308951325928,-2.424605828043979,-0.6813302438260027,-2.3112986811126577,-0.8580498257685539,-1.8958380277950266,-5.74202104041225,0.42900274005070876
2006-07-01,-0.5522058299408525,-2.8950724129237004,-1.8290848322375026,-2.5303837142452617,-2.0840755721258715,-1.7608177524376976,-1.9126090668151896,-1.0060988903303676,-1.0076885221223437,-5.215666914353384,-0.6730576898030218
2006-08-01,-0.9847803588263935,-3.1938222749822454,-1.7686292426123609,-2.586308951325928,-1.9955625391654632,-0.8942156840101997,-1.6446151219722707,-2.3759098073969573,-2.8405253994110713,-6.361963988888464,-0.38404954404882763
2006-09-01,-1.03842232912904,-2.139123912410418,-1.8868174534335125,-1.3585527618309985,-0.4308114853504579,-0.822626357795021,-2.0122814703895564,-2.5859682923076055,-2.5288622115264134,-5.0726527732921,0.1849642314537089
2006-10-01,-1.226359605250703,-2.9377509646463498,-2.0022826958255324,0.024057982043759345,-1.6041905824644125,-1.1843380657935916,-1.7132642596664556,-0.9137293800366069,-1.3144480921807338,-4.279413855006014,0.23744983159791266
2006-11-01,-0.9502973298529667,-2.9377509646463498,-1.5681744203056371,-2.78204728110826,-2.247579762123161,-0.6794477053646639,-2.0122814703895564,-1.2530171762628635,-2.247452806224072,-5.757807010404199,-0.018850228416545663
2006-12-01,-1.5135303544828336,-2.9377509646463498,-2.0600153170215423,-3.3467229310483404,-2.4836145166842516,-0.8960982224715384,-2.3112986811126577,-2.437919227745792,-1.8792517523960521,-6.830381637556481,-0.10310316518885031
2007-01-01,-0.8510638567424994,-2.8950724129237004,-1.9445500746295223,-1.3026275247503323,-1.6014682531786362,-0.7529195700411813,-2.0122814703895564,-1.3885763536592532,-1.6543802130370726,-4.931895804093494,0.9811704059136971
2007-02-01,-0.20856784516556387,-2.6477653265619487,-1.826361863808371,-1.3026275247503323,-1.912494164776607,-1.0392768749018955,-1.9126090668151896,-0.7593504493940114,-2.4723243455830515,-4.784265918556839,0.4200103957565207
2007-03-01,0.3774609308682134,-1.526508729836494,-2.117747938217552,-2.6422341884065945,-2.218075417803025,-0.967687548686717,-0.50833711379294,-1.0492885574329969,-2.247452806224072,-4.475606239184657,-0.004981453813794274
2007-04-01,-1.7014676306044967,-2.772879573738515,-1.5104417991096273,-1.6995274634484134,-2.0840755721258715,-1.689228426222519,-1.9126090668151896,-0.8392300725223485,-1.2442427190540295,-4.999075009799428,-0.24678837607562615
2007-05-01,-1.6786718792005866,-2.980429516368999,-1.826361863808371,-1.1907770505889996,-1.6739988177424372,-0.7529195700411813,-1.8129366632408226,-1.098638245620268,-0.709692841421028,-4.671280502444066,-0.15700033239161928
2007-06-01,-0.18577209376165366,-3.065786619814298,-2.0600153170215423,-0.443546441570954,-1.644494473422301,-1.0411594133632343,-0.3749379062807939,-2.122831500379819,-1.5841748399103686,-4.435795381646923,-0.1019624125295567
2007-07-01,-1.5480133834562602,-2.394028153906227,-1.7686292426123609,-1.0509639578873335,-1.7920161950229827,-1.546049773792162,-1.9126090668151896,-1.6470349762904697,-1.077893895249048,-4.838221664821343,-0.5494685529929391
