,indice_Termini_Diretti,indice_Alimentari,indice_Energia,indice_Abitazione,indice_Trasporti,indice_Politiche_Economiche,indice_Aspettative_Consumatori,indice_Sanita,indice_Ricreazione,indice_globale
2004-01-01,3.2235364870398664,-3.1871545713610385,-0.506717176494694,-3.3983776447216205,-4.432995530216731,-1.7607247123307326,-1.6578767900575841,-2.908756522061042,-2.6630351464144058,-6.117000011878789
2004-02-01,4.644722071344685,-3.182722050875415,-1.2071193297702063,-3.6597741307163334,-2.981880296262485,-2.0496655557494807,-1.4486628274371574,-2.8204638621668106,-2.4333220406704044,-5.540252962280163
2004-03-01,0.8131262471565439,-3.1910945895704814,-1.4146041176694872,-3.1227116779456514,-1.6986373042436533,-1.4717838689119844,-3.1206620867863775,-2.9718227076997783,-1.9233212125418937,-6.302756898869697
2004-04-01,2.3055618300625302,-3.1925720963990223,-1.6578743752741836,-3.481183203692453,-2.8955488770768776,-1.3995486580572976,-2.2262090051779886,-2.9970491819552727,-2.5104829708111067,-6.468722002424096
2004-05-01,2.6648633385364633,-3.1935571009513835,-1.8184483180477122,-2.5549569414508313,-2.138967265330904,-1.3273134472026105,-2.357342328418861,-3.173634501743735,-2.4999165184425207,-6.029124708760531
2004-06-01,-0.017417203785402485,-3.1999596305417284,-1.6332142809891055,-2.828768649786484,-1.438566613992534,-0.9300197875018317,-2.2788335786357568,-1.8682901881140286,-1.451635287224385,-5.481457799781925
2004-07-01,0.20755867542392897,-3.2014371373702692,-1.909860664854814,-2.8250601329058505,-1.5956194658473983,-0.8216669712198011,-2.4817905523766246,-2.14944978832905,-2.3681897304629587,-6.063831091145071
2004-08-01,1.1922472244725384,-3.2024221419226304,-1.163355200125098,-2.205192121164337,-2.154883175368495,-0.749431760365114,-1.22153411898515,-3.274540398765713,-1.906414888752156,-5.434045249656551
2004-09-01,0.9736560123211926,-3.196019612332285,-1.1188536984437487,-3.363976844116849,-0.6486402955080155,-1.1467254200658927,-1.6649899997442412,-3.0979550789772508,-2.5333855602263844,-5.644166998991737
2004-10-01,0.7284443318192657,-3.1974971191608264,-1.2460515149562656,-3.839654729439254,-2.1308131162845085,-1.0744902092112056,-1.828264488190008,-2.0648255118394006,-1.393150365551526,-5.621284268574127
2004-11-01,1.48540741736365,-2.0563730244196594,-1.6220889055687682,-2.7586773768779005,-1.898384866349827,-0.060389490260114094,-1.7564408376900127,-3.1105683161049984,-2.746499859294083,-5.458356224268499
