,indice_Termini_Diretti,indice_Alimentari,indice_Energia,indice_Abitazione,indice_Trasporti,indice_Politiche_Economiche,indice_Aspettative_Consumatori,indice_Sanita,indice_Ricreazione,indice_globale
2004-01-01,3.1118595007113776,-3.1866224887696393,-0.6403884081678385,-3.625537338744988,-1.3393114185012944,-2.5994332768666615,-1.441391782664532,-2.837910740923287,-2.4744405535913647,-5.019487144131729
2004-02-01,3.011724134215835,-3.186750478407637,-1.2593583866242037,-3.843805612099784,-1.797053184372055,-1.9589707332022983,-1.4215198572267775,-2.7969735144331205,-2.4603755925917463,-5.447408539931898
2004-03-01,-0.566805300152845,-3.185598571665656,-1.412261317995031,-2.309499237043931,-1.8786800945472697,-2.458634445619449,-1.6003671861665685,-2.947076678230399,-2.658355338503478,-6.167029146164316
2004-04-01,1.252810403685898,-3.185086613113665,-1.5407831307435036,-3.7811625382785423,-1.0295385473886678,-1.8111128338915636,-0.6833726044462033,-3.0016596468839545,-0.7235780464474236,-5.000515845333709
2004-05-01,0.9207206792207265,-3.1841906856476796,-1.5285925714323263,-3.654348631775198,-1.9899362014665973,-0.8493918485966572,-1.8189583659818689,-1.459235576534518,-2.54455130020604,-5.643566863787646
2004-06-01,-0.1808450609956861,-3.1841906856476796,-1.8343984341739803,-2.147325790888695,-1.9603070047224846,-2.277607376873033,-1.8189583659818689,-2.2021922882627556,0.35278137621117817,-5.002783392995751
2004-07-01,1.151480546191028,-3.1818868721637177,-1.892564060892628,-2.618017705933726,-1.052307047788458,-1.975895595629006,-2.176653023861451,-2.1126935328862633,-1.6272176623261028,-5.223004436977738
2004-08-01,0.13593283519542523,-3.182014861801716,-1.1112877615914964,-3.3926448132859686,-1.4149045978649517,-1.9960097143786077,-2.156781098423697,-2.2431295147529227,-2.7990049484996593,-5.987079941648261
2004-09-01,0.7966727917077494,-2.0774608842057405,-1.2300717660198113,-2.7529076179196124,-1.1821101366432,-2.2172650206242275,-1.8785741422951323,-2.2856696038720172,-2.6153042219709617,-4.9995724998525075
2004-10-01,0.27760008274396114,-3.183806716733686,-1.6814955028031533,-2.4747282009208886,-0.8955924336458482,-2.2373791393738296,-1.8785741422951323,-3.0971798420276775,-2.5869602415883097,-5.886141328661388
2004-11-01,1.569748196773273,-1.9409203043546788,-1.5529736900546809,-2.807474686258311,-1.0870839830461776,-1.7034831720800323,-1.8785741422951323,-3.0698883577008997,-1.0506297486086893,-4.630508738456688
2004-12-01,1.5011262937720187,-3.1839347063716836,-1.494808063336033,-2.8893252887663596,-2.361811944430993,-1.7969946977645193,-1.8587022168573777,-3.0698883577008997,-1.669227075825777,-5.7917676719904
2005-01-01,1.4506319345783105,-3.1859825405796496,-1.0527877160266301,-2.3913498395519794,-1.0028135149036186,-2.0584782415093423,-1.5407514098533048,-2.156836484634286,-2.530914455973253,-4.821588704859599
2005-02-01,0.8582162391665723,-3.1849586234756666,-1.5989487574621515,-2.8701177600795527,-0.5473027527736187,-1.9377935290117319,-1.6997268133553414,-1.956568929321754,-2.0085271957681714,-4.9951021622935645
2005-03-01,0.4585115192969463,-2.7229192830638667,-1.3585935787682841,-2.293347226078846,-1.6100092148598657,-0.07974848210025667,-1.9779337694839054,-2.340252572525573,-2.0505080203836106,-5.107924465202734
