GT_Index,Lag,AIC,BIC,Criterio_Val,Num_Obs
indice_Inflazione_GT_PCA_SA_diff1,1,67.0497040127755,88.17846951994898,67.0497040127755,250
indice_Inflazione_GT_PCA_SA_diff1,2,67.29968070288112,88.40439808166937,67.29968070288112,249
indice_Inflazione_GT_PCA_SA_diff1,3,65.96714773364545,87.04772021063533,65.96714773364545,248
indice_Inflazione_GT_PCA_SA_diff1,4,69.95865917523247,91.01498919500034,69.95865917523247,247
indice_Inflazione_GT_PCA_SA_diff1,5,70.64771845312495,91.67970766871912,70.64771845312495,246
indice_Inflazione_GT_PCA_SA_diff1,6,70.93650141991455,91.94405068318291,70.93650141991455,245
indice_Inflazione_GT_PCA_SA_diff1,7,70.45838288077738,91.4413922325366,70.45838288077738,244
indice_Inflazione_GT_PCA_SA_diff1,8,71.39843490722839,92.35680356727167,71.39843490722839,243
indice_Inflazione_GT_PCA_SA_diff1,9,72.88520744430535,93.81883380124548,72.88520744430535,242
indice_Inflazione_GT_PCA_SA_diff1,10,71.76447113366271,92.67325273460665,71.76447113366271,241
indice_Inflazione_GT_PCA_SA_diff1,11,73.68641283895337,94.57024637900531,73.68641283895337,240
indice_Inflazione_GT_PCA_SA_diff1,12,74.36218514421732,95.22096645580639,74.36218514421732,239
indice_Tematico_GT_SA_diff1,1,64.2525740630716,85.38133957024507,64.2525740630716,250
indice_Tematico_GT_SA_diff1,2,67.4795041528841,88.58422153167234,67.4795041528841,249
indice_Tematico_GT_SA_diff1,3,66.72779291293702,87.8083653899269,66.72779291293702,248
indice_Tematico_GT_SA_diff1,4,69.91484464755118,90.97117466731905,69.91484464755118,247
indice_Tematico_GT_SA_diff1,5,70.60996740387907,91.64195661947323,70.60996740387907,246
indice_Tematico_GT_SA_diff1,6,71.27925506110844,92.28680432437682,71.27925506110844,245
indice_Tematico_GT_SA_diff1,7,72.07625887468893,93.05926822644815,72.07625887468893,244
indice_Tematico_GT_SA_diff1,8,68.63756273477517,89.59593139481846,68.63756273477517,243
indice_Tematico_GT_SA_diff1,9,72.86418019565582,93.79780655259594,72.86418019565582,242
indice_Tematico_GT_SA_diff1,10,73.49057508356795,94.39935668451187,73.49057508356795,241
indice_Tematico_GT_SA_diff1,11,71.5196666787232,92.40350021877515,71.5196666787232,240
indice_Tematico_GT_SA_diff1,12,72.40600948909724,93.26479080068631,72.40600948909724,239
